,Lines
16541,"to make for some other spot, and do the same, and ramble on again."
16543,"Where could he go, that was near and not too public, to get some meat"
16544,"and drink?  Hendon.  That was a good place, not far off, and out of"
16545,"most people's way.  Thither he directed his steps,--running sometimes,"
16546,"and sometimes, with a strange perversity, loitering at a snail's pace,"
16547,or stopping altogether and idly breaking the hedges with a stick.  But
16548,"when he got there, all the people he met--the very children at the"
16549,"doors--seemed to view him with suspicion.  Back he turned again,"
16550,"without the courage to purchase bit or drop, though he had tasted no"
16551,"food for many hours; and once more he lingered on the Heath, uncertain"
16552,where to go.
16554,"He wandered over miles and miles of ground, and still came back to the"
16555,"old place.  Morning and noon had passed, and the day was on the wane,"
16556,"and still he rambled to and fro, and up and down, and round and round,"
16557,"and still lingered about the same spot.  At last he got away, and"
16558,shaped his course for Hatfield.
16560,"It was nine o'clock at night, when the man, quite tired out, and the"
16561,"dog, limping and lame from the unaccustomed exercise, turned down the"
16562,"hill by the church of the quiet village, and plodding along the little"
16563,"street, crept into a small public-house, whose scanty light had guided"
16564,"them to the spot.  There was a fire in the tap-room, and some"
16565,country-labourers were drinking before it.
16567,"They made room for the stranger, but he sat down in the furthest"
16568,"corner, and ate and drank alone, or rather with his dog:  to whom he"
16569,cast a morsel of food from time to time.
16571,"The conversation of the men assembled here, turned upon the"
16572,"neighbouring land, and farmers; and when those topics were exhausted,"
16573,upon the age of some old man who had been buried on the previous
16574,"Sunday; the young men present considering him very old, and the old men"
16575,"present declaring him to have been quite young--not older, one"
16576,"white-haired grandfather said, than he was--with ten or fifteen year of"
16577,life in him at least--if he had taken care; if he had taken care.
16579,"There was nothing to attract attention, or excite alarm in this. The"
16580,"robber, after paying his reckoning, sat silent and unnoticed in his"
16581,"corner, and had almost dropped asleep, when he was half wakened by the"
16582,noisy entrance of a new comer.
16584,"This was an antic fellow, half pedlar and half mountebank, who"
16585,"travelled about the country on foot to vend hones, strops, razors,"
16586,"washballs, harness-paste, medicine for dogs and horses, cheap"
16587,"perfumery, cosmetics, and such-like wares, which he carried in a case"
16588,slung to his back.  His entrance was the signal for various homely
16589,"jokes with the countrymen, which slackened not until he had made his"
16590,"supper, and opened his box of treasures, when he ingeniously contrived"
16591,to unite business with amusement.
16593,"'And what be that stoof?  Good to eat, Harry?' asked a grinning"
16594,"countryman, pointing to some composition-cakes in one corner."
16596,"'This,' said the fellow, producing one, 'this is the infallible and"
16597,"invaluable composition for removing all sorts of stain, rust, dirt,"
16598,"mildew, spick, speck, spot, or spatter, from silk, satin, linen,"
16599,"cambric, cloth, crape, stuff, carpet, merino, muslin, bombazeen, or"
16600,"woollen stuff.  Wine-stains, fruit-stains, beer-stains, water-stains,"
16601,"paint-stains, pitch-stains, any stains, all come out at one rub with"
16602,the infallible and invaluable composition.  If a lady stains her
16603,"honour, she has only need to swallow one cake and she's cured at"
16604,"once--for it's poison.  If a gentleman wants to prove this, he has only"
16605,"need to bolt one little square, and he has put it beyond question--for"
16606,"it's quite as satisfactory as a pistol-bullet, and a great deal nastier"
16607,"in the flavour, consequently the more credit in taking it.  One penny a"
16608,"square.  With all these virtues, one penny a square!'"
16610,"There were two buyers directly, and more of the listeners plainly"
16611,"hesitated.  The vendor observing this, increased in loquacity."
16613,"'It's all bought up as fast as it can be made,' said the fellow. 'There"
16614,"are fourteen water-mills, six steam-engines, and a galvanic battery,"
16615,"always a-working upon it, and they can't make it fast enough, though"
16616,"the men work so hard that they die off, and the widows is pensioned"
16617,"directly, with twenty pound a-year for each of the children, and a"
16618,premium of fifty for twins.  One penny a square!  Two half-pence is all
16619,"the same, and four farthings is received with joy.  One penny a square!"
16620,"Wine-stains, fruit-stains, beer-stains, water-stains, paint-stains,"
16621,"pitch-stains, mud-stains, blood-stains!  Here is a stain upon the hat"
16622,"of a gentleman in company, that I'll take clean out, before he can"
16623,order me a pint of ale.'
16625,'Hah!' cried Sikes starting up.  'Give that back.'
16627,"'I'll take it clean out, sir,' replied the man, winking to the company,"
16628,"'before you can come across the room to get it. Gentlemen all, observe"
16629,"the dark stain upon this gentleman's hat, no wider than a shilling, but"
16630,"thicker than a half-crown.  Whether it is a wine-stain, fruit-stain,"
16631,"beer-stain, water-stain, paint-stain, pitch-stain, mud-stain, or"
16632,blood-stain--'
16634,"The man got no further, for Sikes with a hideous imprecation overthrew"
16635,"the table, and tearing the hat from him, burst out of the house."
16637,With the same perversity of feeling and irresolution that had fastened
16638,"upon him, despite himself, all day, the murderer, finding that he was"
16639,"not followed, and that they most probably considered him some drunken"
16640,"sullen fellow, turned back up the town, and getting out of the glare of"
16641,"the lamps of a stage-coach that was standing in the street, was walking"
16642,"past, when he recognised the mail from London, and saw that it was"
16643,standing at the little post-office.  He almost knew what was to come;
16644,"but he crossed over, and listened."
16646,"The guard was standing at the door, waiting for the letter-bag. A man,"
16647,"dressed like a game-keeper, came up at the moment, and he handed him a"
16648,basket which lay ready on the pavement.
16650,"'That's for your people,' said the guard.  'Now, look alive in there,"
16651,"will you.  Damn that 'ere bag, it warn't ready night afore last; this"
16652,"won't do, you know!'"
16654,"'Anything new up in town, Ben?' asked the game-keeper, drawing back to"
16655,"the window-shutters, the better to admire the horses."
16657,"'No, nothing that I knows on,' replied the man, pulling on his gloves."
16658,"'Corn's up a little.  I heerd talk of a murder, too, down Spitalfields"
16659,"way, but I don't reckon much upon it.'"
16661,"'Oh, that's quite true,' said a gentleman inside, who was looking out"
16662,of the window.  'And a dreadful murder it was.'
16664,"'Was it, sir?' rejoined the guard, touching his hat.  'Man or woman,"
16665,"pray, sir?'"
16667,"'A woman,' replied the gentleman.  'It is supposed--'"
16669,"'Now, Ben,' replied the coachman impatiently."
16671,"'Damn that 'ere bag,' said the guard; 'are you gone to sleep in there?'"
16673,"'Coming!' cried the office keeper, running out."
16675,"'Coming,' growled the guard.  'Ah, and so's the young 'ooman of"
16676,"property that's going to take a fancy to me, but I don't know when."
16677,"Here, give hold.  All ri--ight!'"
16679,"The horn sounded a few cheerful notes, and the coach was gone."
16681,"Sikes remained standing in the street, apparently unmoved by what he"
16682,"had just heard, and agitated by no stronger feeling than a doubt where"
16683,"to go.  At length he went back again, and took the road which leads"
16684,from Hatfield to St. Albans.
16686,"He went on doggedly; but as he left the town behind him, and plunged"
16687,"into the solitude and darkness of the road, he felt a dread and awe"
16688,"creeping upon him which shook him to the core. Every object before him,"
16689,"substance or shadow, still or moving, took the semblance of some"
16690,fearful thing; but these fears were nothing compared to the sense that
16691,haunted him of that morning's ghastly figure following at his heels.
16692,"He could trace its shadow in the gloom, supply the smallest item of the"
16693,"outline, and note how stiff and solemn it seemed to stalk along.  He"
16694,"could hear its garments rustling in the leaves, and every breath of"
16695,wind came laden with that last low cry.  If he stopped it did the same.
16696,"If he ran, it followed--not running too:  that would have been a"
16697,"relief:  but like a corpse endowed with the mere machinery of life, and"
16698,borne on one slow melancholy wind that never rose or fell.
16700,"At times, he turned, with desperate determination, resolved to beat"
16701,"this phantom off, though it should look him dead; but the hair rose on"
16702,"his head, and his blood stood still, for it had turned with him and was"
16703,"behind him then.  He had kept it before him that morning, but it was"
16704,"behind now--always.  He leaned his back against a bank, and felt that"
16705,"it stood above him, visibly out against the cold night-sky.  He threw"
16706,himself upon the road--on his back upon the road.  At his head it
16707,"stood, silent, erect, and still--a living grave-stone, with its epitaph"
16708,in blood.
16710,"Let no man talk of murderers escaping justice, and hint that Providence"
16711,must sleep.  There were twenty score of violent deaths in one long
16712,minute of that agony of fear.
16714,"There was a shed in a field he passed, that offered shelter for the"
16715,"night.  Before the door, were three tall poplar trees, which made it"
16716,very dark within; and the wind moaned through them with a dismal wail.
16717,"He _could not_ walk on, till daylight came again; and here he stretched"
16718,himself close to the wall--to undergo new torture.
16720,"For now, a vision came before him, as constant and more terrible than"
16721,"that from which he had escaped.  Those widely staring eyes, so"
16722,"lustreless and so glassy, that he had better borne to see them than"
16723,"think upon them, appeared in the midst of the darkness: light in"
16724,"themselves, but giving light to nothing.  There were but two, but they"
16725,"were everywhere.  If he shut out the sight, there came the room with"
16726,"every well-known object--some, indeed, that he would have forgotten, if"
16727,he had gone over its contents from memory--each in its accustomed
16728,"place.  The body was in _its_ place, and its eyes were as he saw them"
16729,"when he stole away.  He got up, and rushed into the field without.  The"
16730,"figure was behind him. He re-entered the shed, and shrunk down once"
16731,"more.  The eyes were there, before he had laid himself along."
16733,"And here he remained in such terror as none but he can know, trembling"
16734,"in every limb, and the cold sweat starting from every pore, when"
16735,"suddenly there arose upon the night-wind the noise of distant shouting,"
16736,and the roar of voices mingled in alarm and wonder.  Any sound of men
16737,"in that lonely place, even though it conveyed a real cause of alarm,"
16738,was something to him.  He regained his strength and energy at the
16739,"prospect of personal danger; and springing to his feet, rushed into the"
16740,open air.
16742,The broad sky seemed on fire.  Rising into the air with showers of
16743,"sparks, and rolling one above the other, were sheets of flame, lighting"
16744,"the atmosphere for miles round, and driving clouds of smoke in the"
16745,direction where he stood.  The shouts grew louder as new voices swelled
16746,"the roar, and he could hear the cry of Fire! mingled with the ringing"
16747,"of an alarm-bell, the fall of heavy bodies, and the crackling of flames"
16748,"as they twined round some new obstacle, and shot aloft as though"
16749,refreshed by food.  The noise increased as he looked.  There were
16750,"people there--men and women--light, bustle.  It was like new life to"
16751,"him.  He darted onward--straight, headlong--dashing through brier and"
16752,"brake, and leaping gate and fence as madly as his dog, who careered"
16753,with loud and sounding bark before him.
16755,He came upon the spot.  There were half-dressed figures tearing to and
16756,"fro, some endeavouring to drag the frightened horses from the stables,"
16757,"others driving the cattle from the yard and out-houses, and others"
16758,"coming laden from the burning pile, amidst a shower of falling sparks,"
16759,"and the tumbling down of red-hot beams.  The apertures, where doors and"
16760,"windows stood an hour ago, disclosed a mass of raging fire; walls"
16761,rocked and crumbled into the burning well; the molten lead and iron
16762,"poured down, white hot, upon the ground.  Women and children shrieked,"
16763,and men encouraged each other with noisy shouts and cheers.  The
16764,"clanking of the engine-pumps, and the spirting and hissing of the water"
16765,"as it fell upon the blazing wood, added to the tremendous roar.  He"
16766,"shouted, too, till he was hoarse; and flying from memory and himself,"
16767,plunged into the thickest of the throng.  Hither and thither he dived
16768,"that night:  now working at the pumps, and now hurrying through the"
16769,"smoke and flame, but never ceasing to engage himself wherever noise and"
16770,"men were thickest.  Up and down the ladders, upon the roofs of"
16771,"buildings, over floors that quaked and trembled with his weight, under"
16772,"the lee of falling bricks and stones, in every part of that great fire"
16773,"was he; but he bore a charmed life, and had neither scratch nor bruise,"
16774,"nor weariness nor thought, till morning dawned again, and only smoke"
16775,and blackened ruins remained.
16777,"This mad excitement over, there returned, with ten-fold force, the"
16778,"dreadful consciousness of his crime.  He looked suspiciously about him,"
16779,"for the men were conversing in groups, and he feared to be the subject"
16780,"of their talk.  The dog obeyed the significant beck of his finger, and"
16781,"they drew off, stealthily, together.  He passed near an engine where"
16782,"some men were seated, and they called to him to share in their"
16783,refreshment.  He took some bread and meat; and as he drank a draught of
16784,"beer, heard the firemen, who were from London, talking about the"
16785,"murder.  'He has gone to Birmingham, they say,' said one:  'but they'll"
16786,"have him yet, for the scouts are out, and by to-morrow night there'll"
16787,be a cry all through the country.'
16789,"He hurried off, and walked till he almost dropped upon the ground; then"
16790,"lay down in a lane, and had a long, but broken and uneasy sleep.  He"
16791,"wandered on again, irresolute and undecided, and oppressed with the"
16792,fear of another solitary night.
16794,"Suddenly, he took the desperate resolution to going back to London."
16796,"'There's somebody to speak to there, at all event,' he thought. 'A good"
16797,"hiding-place, too.  They'll never expect to nab me there, after this"
16798,"country scent.  Why can't I lie by for a week or so, and, forcing blunt"
16799,"from Fagin, get abroad to France?  Damme, I'll risk it.'"
16801,"He acted upon this impulse without delay, and choosing the least"
16802,"frequented roads began his journey back, resolved to lie concealed"
16803,"within a short distance of the metropolis, and, entering it at dusk by"
16804,"a circuitous route, to proceed straight to that part of it which he had"
16805,fixed on for his destination.
16807,"The dog, though.  If any description of him were out, it would not be"
16808,"forgotten that the dog was missing, and had probably gone with him."
16809,This might lead to his apprehension as he passed along the streets.  He
16810,"resolved to drown him, and walked on, looking about for a pond:"
16811,picking up a heavy stone and tying it to his handkerchief as he went.
16813,The animal looked up into his master's face while these preparations
16814,were making; whether his instinct apprehended something of their
16815,"purpose, or the robber's sidelong look at him was sterner than"
16816,"ordinary, he skulked a little farther in the rear than usual, and"
16817,cowered as he came more slowly along.  When his master halted at the
16818,"brink of a pool, and looked round to call him, he stopped outright."
16820,'Do you hear me call?  Come here!' cried Sikes.
16822,The animal came up from the very force of habit; but as Sikes stooped
16823,"to attach the handkerchief to his throat, he uttered a low growl and"
16824,started back.
16826,'Come back!' said the robber.
16828,"The dog wagged his tail, but moved not.  Sikes made a running noose and"
16829,called him again.
16831,"The dog advanced, retreated, paused an instant, and scoured away at his"
16832,hardest speed.
16834,"The man whistled again and again, and sat down and waited in the"
16835,"expectation that he would return.  But no dog appeared, and at length"
16836,he resumed his journey.
16845," The twilight was beginning to close in, when Mr. Brownlow"
16846,"alighted from a hackney-coach at his own door, and knocked softly.  The"
16847,"door being opened, a sturdy man got out of the coach and stationed"
16848,"himself on one side of the steps, while another man, who had been"
16849,"seated on the box, dismounted too, and stood upon the other side.  At a"
16850,"sign from Mr. Brownlow, they helped out a third man, and taking him"
16851,"between them, hurried him into the house. This man was Monks."
16853,"They walked in the same manner up the stairs without speaking, and Mr."
16854,"Brownlow, preceding them, led the way into a back-room. At the door of"
16855,"this apartment, Monks, who had ascended with evident reluctance,"
16856,stopped.  The two men looked at the old gentleman as if for
16857,instructions.
16859,"'He knows the alternative,' said Mr. Browlow.  'If he hesitates or"
16860,"moves a finger but as you bid him, drag him into the street, call for"
16861,"the aid of the police, and impeach him as a felon in my name.'"
16863,'How dare you say this of me?' asked Monks.
16865,"'How dare you urge me to it, young man?' replied Mr. Brownlow,"
16866,confronting him with a steady look.  'Are you mad enough to leave this
16867,"house?  Unhand him.  There, sir. You are free to go, and we to follow."
16868,"But I warn you, by all I hold most solemn and most sacred, that instant"
16869,will have you apprehended on a charge of fraud and robbery.  I am
16870,"resolute and immoveable.  If you are determined to be the same, your"
16871,blood be upon your own head!'
16873,"'By what authority am I kidnapped in the street, and brought here by"
16874,"these dogs?' asked Monks, looking from one to the other of the men who"
16875,stood beside him.
16877,"'By mine,' replied Mr. Brownlow.  'Those persons are indemnified by me."
16878,If you complain of being deprived of your liberty--you had power and
16879,"opportunity to retrieve it as you came along, but you deemed it"
16880,"advisable to remain quiet--I say again, throw yourself for protection"
16881,on the law.  I will appeal to the law too; but when you have gone too
16882,"far to recede, do not sue to me for leniency, when the power will have"
16883,passed into other hands; and do not say I plunged you down the gulf
16884,"into which you rushed, yourself.'"
16886,"Monks was plainly disconcerted, and alarmed besides.  He hesitated."
16888,"'You will decide quickly,' said Mr. Brownlow, with perfect firmness and"
16889,"composure.  'If you wish me to prefer my charges publicly, and consign"
16890,"you to a punishment the extent of which, although I can, with a"
16891,"shudder, foresee, I cannot control, once more, I say, for you know the"
16892,"way.  If not, and you appeal to my forbearance, and the mercy of those"
16893,"you have deeply injured, seat yourself, without a word, in that chair."
16894,It has waited for you two whole days.'
16896,"Monks muttered some unintelligible words, but wavered still."
16898,"'You will be prompt,' said Mr. Brownlow.  'A word from me, and the"
16899,alternative has gone for ever.'
16901,Still the man hesitated.
16903,"'I have not the inclination to parley,' said Mr. Brownlow, 'and, as I"
16904,"advocate the dearest interests of others, I have not the right.'"
16906,"'Is there--' demanded Monks with a faltering tongue,--'is there--no"
16907,middle course?'
16909,'None.'
16911,"Monks looked at the old gentleman, with an anxious eye; but, reading in"
16912,"his countenance nothing but severity and determination, walked into the"
16913,"room, and, shrugging his shoulders, sat down."
16915,"'Lock the door on the outside,' said Mr. Brownlow to the attendants,"
16916,'and come when I ring.'
16918,"The men obeyed, and the two were left alone together."
16920,"'This is pretty treatment, sir,' said Monks, throwing down his hat and"
16921,"cloak, 'from my father's oldest friend.'"
16923,"'It is because I was your father's oldest friend, young man,' returned"
16924,Mr. Brownlow; 'it is because the hopes and wishes of young and happy
16925,"years were bound up with him, and that fair creature of his blood and"
16926,"kindred who rejoined her God in youth, and left me here a solitary,"
16927,lonely man:  it is because he knelt with me beside his only sisters'
16928,"death-bed when he was yet a boy, on the morning that would--but Heaven"
16929,willed otherwise--have made her my young wife; it is because my seared
16930,"heart clung to him, from that time forth, through all his trials and"
16931,"errors, till he died; it is because old recollections and associations"
16932,"filled my heart, and even the sight of you brings with it old thoughts"
16933,of him; it is because of all these things that I am moved to treat you
16934,"gently now--yes, Edward Leeford, even now--and blush for your"
16935,unworthiness who bear the name.'
16937,"'What has the name to do with it?' asked the other, after"
16938,"contemplating, half in silence, and half in dogged wonder, the"
16939,agitation of his companion.  'What is the name to me?'
16941,"'Nothing,' replied Mr. Brownlow, 'nothing to you.  But it was _hers_,"
16942,"and even at this distance of time brings back to me, an old man, the"
16943,"glow and thrill which I once felt, only to hear it repeated by a"
16944,stranger.  I am very glad you have changed it--very--very.'
16946,"'This is all mighty fine,' said Monks (to retain his assumed"
16947,"designation) after a long silence, during which he had jerked himself"
16948,"in sullen defiance to and fro, and Mr. Brownlow had sat, shading his"
16949,face with his hand. 'But what do you want with me?'
16951,"'You have a brother,' said Mr. Brownlow, rousing himself:  'a brother,"
16952,the whisper of whose name in your ear when I came behind you in the
16953,"street, was, in itself, almost enough to make you accompany me hither,"
16954,in wonder and alarm.'
16956,"'I have no brother,' replied Monks.  'You know I was an only child."
16957,"Why do you talk to me of brothers?  You know that, as well as I.'"
16959,"'Attend to what I do know, and you may not,' said Mr. Brownlow. 'I"
16960,"shall interest you by and by.  I know that of the wretched marriage,"
16961,"into which family pride, and the most sordid and narrowest of all"
16962,"ambition, forced your unhappy father when a mere boy, you were the sole"
16963,and most unnatural issue.'
16965,"'I don't care for hard names,' interrupted Monks with a jeering laugh."
16966,"'You know the fact, and that's enough for me.'"
16968,"'But I also know,' pursued the old gentleman, 'the misery, the slow"
16969,"torture, the protracted anguish of that ill-assorted union. I know how"
16970,listlessly and wearily each of that wretched pair dragged on their
16971,heavy chain through a world that was poisoned to them both.  I know how
16972,cold formalities were succeeded by open taunts; how indifference gave
16973,"place to dislike, dislike to hate, and hate to loathing, until at last"
16974,"they wrenched the clanking bond asunder, and retiring a wide space"
16975,"apart, carried each a galling fragment, of which nothing but death"
16976,"could break the rivets, to hide it in new society beneath the gayest"
16977,looks they could assume.  Your mother succeeded; she forgot it soon.
16978,But it rusted and cankered at your father's heart for years.'
16980,"'Well, they were separated,' said Monks, 'and what of that?'"
16982,"'When they had been separated for some time,' returned Mr. Brownlow,"
16983,"'and your mother, wholly given up to continental frivolities, had"
16984,"utterly forgotten the young husband ten good years her junior, who,"
16985,"with prospects blighted, lingered on at home, he fell among new"
16986,"friends.  This circumstance, at least, you know already.'"
16988,"'Not I,' said Monks, turning away his eyes and beating his foot upon"
16989,"the ground, as a man who is determined to deny everything. 'Not I.'"
16991,"'Your manner, no less than your actions, assures me that you have never"
16992,"forgotten it, or ceased to think of it with bitterness,' returned Mr."
16993,"Brownlow.  'I speak of fifteen years ago, when you were not more than"
16994,"eleven years old, and your father but one-and-thirty--for he was, I"
16995,"repeat, a boy, when _his_ father ordered him to marry. Must I go back"
16996,"to events which cast a shade upon the memory of your parent, or will"
16997,"you spare it, and disclose to me the truth?'"
16999,"'I have nothing to disclose,' rejoined Monks.  'You must talk on if you"
17000,will.'
17002,"'These new friends, then,' said Mr. Brownlow, 'were a naval officer"
17003,"retired from active service, whose wife had died some half-a-year"
17004,"before, and left him with two children--there had been more, but, of"
17005,"all their family, happily but two survived. They were both daughters;"
17006,"one a beautiful creature of nineteen, and the other a mere child of two"
17007,or three years old.'
17009,'What's this to me?' asked Monks.
17011,"'They resided,' said Mr. Brownlow, without seeming to hear the"
17012,"interruption, 'in a part of the country to which your father in his"
17013,"wandering had repaired, and where he had taken up his abode."
17014,"Acquaintance, intimacy, friendship, fast followed on each other. Your"
17015,father was gifted as few men are.  He had his sister's soul and person.
17016,"As the old officer knew him more and more, he grew to love him.  I"
17017,would that it had ended there.  His daughter did the same.'
17019,"The old gentleman paused; Monks was biting his lips, with his eyes"
17020,"fixed upon the floor; seeing this, he immediately resumed:"
17022,"'The end of a year found him contracted, solemnly contracted, to that"
17023,"daughter; the object of the first, true, ardent, only passion of a"
17024,guileless girl.'
17026,"'Your tale is of the longest,' observed Monks, moving restlessly in his"
17027,chair.
17029,"'It is a true tale of grief and trial, and sorrow, young man,' returned"
17030,"Mr. Brownlow, 'and such tales usually are; if it were one of unmixed"
17031,"joy and happiness, it would be very brief.  At length one of those rich"
17032,relations to strengthen whose interest and importance your father had
17033,"been sacrificed, as others are often--it is no uncommon case--died, and"
17034,"to repair the misery he had been instrumental in occasioning, left him"
17035,his panacea for all griefs--Money.  It was necessary that he should
17036,"immediately repair to Rome, whither this man had sped for health, and"
17037,"where he had died, leaving his affairs in great confusion.  He went;"
17038,"was seized with mortal illness there; was followed, the moment the"
17039,"intelligence reached Paris, by your mother who carried you with her; he"
17040,"died the day after her arrival, leaving no will--_no will_--so that the"
17041,whole property fell to her and you.'
17043,"At this part of the recital Monks held his breath, and listened with a"
17044,"face of intense eagerness, though his eyes were not directed towards"
17045,"the speaker.  As Mr. Brownlow paused, he changed his position with the"
17046,"air of one who has experienced a sudden relief, and wiped his hot face"
17047,and hands.
17049,"'Before he went abroad, and as he passed through London on his way,'"
17050,"said Mr. Brownlow, slowly, and fixing his eyes upon the other's face,"
17051,'he came to me.'
17053,"'I never heard of that,' interrupted Monks in a tone intended to appear"
17054,"incredulous, but savouring more of disagreeable surprise."
17056,"'He came to me, and left with me, among some other things, a picture--a"
17057,portrait painted by himself--a likeness of this poor girl--which he did
17058,"not wish to leave behind, and could not carry forward on his hasty"
17059,journey.  He was worn by anxiety and remorse almost to a shadow; talked
17060,"in a wild, distracted way, of ruin and dishonour worked by himself;"
17061,"confided to me his intention to convert his whole property, at any"
17062,"loss, into money, and, having settled on his wife and you a portion of"
17063,"his recent acquisition, to fly the country--I guessed too well he would"
17064,"not fly alone--and never see it more.  Even from me, his old and early"
17065,"friend, whose strong attachment had taken root in the earth that"
17066,covered one most dear to both--even from me he withheld any more
17067,"particular confession, promising to write and tell me all, and after"
17068,"that to see me once again, for the last time on earth. Alas!  _That_"
17069,"was the last time.  I had no letter, and I never saw him more.'"
17071,"'I went,' said Mr. Brownlow, after a short pause, 'I went, when all was"
17072,"over, to the scene of his--I will use the term the world would freely"
17073,"use, for worldly harshness or favour are now alike to him--of his"
17074,"guilty love, resolved that if my fears were realised that erring child"
17075,should find one heart and home to shelter and compassionate her.  The
17076,family had left that part a week before; they had called in such
17077,"trifling debts as were outstanding, discharged them, and left the place"
17078,"by night.  Why, or whither, none can tell.'"
17080,"Monks drew his breath yet more freely, and looked round with a smile of"
17081,triumph.
17083,"'When your brother,' said Mr. Brownlow, drawing nearer to the other's"
17084,"chair, 'When your brother:  a feeble, ragged, neglected child:  was"
17085,"cast in my way by a stronger hand than chance, and rescued by me from a"
17086,life of vice and infamy--'
17088,'What?' cried Monks.
17090,"'By me,' said Mr. Brownlow.  'I told you I should interest you before"
17091,long.  I say by me--I see that your cunning associate suppressed my
17092,"name, although for ought he knew, it would be quite strange to your"
17093,"ears.  When he was rescued by me, then, and lay recovering from"
17094,"sickness in my house, his strong resemblance to this picture I have"
17095,"spoken of, struck me with astonishment.  Even when I first saw him in"
17096,"all his dirt and misery, there was a lingering expression in his face"
17097,that came upon me like a glimpse of some old friend flashing on one in
17098,a vivid dream.  I need not tell you he was snared away before I knew
17099,his history--'
17101,'Why not?' asked Monks hastily.
17103,'Because you know it well.'
17107,"'Denial to me is vain,' replied Mr. Brownlow.  'I shall show you that I"
17108,know more than that.'
17110,"'You--you--can't prove anything against me,' stammered Monks.  'I defy"
17111,you to do it!'
17113,"'We shall see,' returned the old gentleman with a searching glance.  'I"
17114,"lost the boy, and no efforts of mine could recover him.  Your mother"
17115,"being dead, I knew that you alone could solve the mystery if anybody"
17116,"could, and as when I had last heard of you you were on your own estate"
17117,"in the West Indies--whither, as you well know, you retired upon your"
17118,mother's death to escape the consequences of vicious courses here--I
17119,"made the voyage.  You had left it, months before, and were supposed to"
17120,"be in London, but no one could tell where.  I returned.  Your agents"
17121,"had no clue to your residence.  You came and went, they said, as"
17122,strangely as you had ever done:  sometimes for days together and
17123,sometimes not for months:  keeping to all appearance the same low
17124,haunts and mingling with the same infamous herd who had been your
17125,associates when a fierce ungovernable boy.  I wearied them with new
17126,"applications.  I paced the streets by night and day, but until two"
17127,"hours ago, all my efforts were fruitless, and I never saw you for an"
17128,instant.'
17130,"'And now you do see me,' said Monks, rising boldly, 'what then? Fraud"
17131,"and robbery are high-sounding words--justified, you think, by a fancied"
17132,resemblance in some young imp to an idle daub of a dead man's Brother!
17133,You don't even know that a child was born of this maudlin pair; you
17134,don't even know that.'
17136,"'I _did not_,' replied Mr. Brownlow, rising too; 'but within the last"
17137,"fortnight I have learnt it all.  You have a brother; you know it, and"
17138,"him.  There was a will, which your mother destroyed, leaving the secret"
17139,and the gain to you at her own death.  It contained a reference to some
17140,"child likely to be the result of this sad connection, which child was"
17141,"born, and accidentally encountered by you, when your suspicions were"
17142,first awakened by his resemblance to your father.  You repaired to the
17143,place of his birth. There existed proofs--proofs long suppressed--of
17144,"his birth and parentage.  Those proofs were destroyed by you, and now,"
17145,"in your own words to your accomplice the Jew, ""_the only proofs of the"
17146,"boy's identity lie at the bottom of the river, and the old hag that"
17147,"received them from the mother is rotting in her coffin_."" Unworthy son,"
17148,"coward, liar,--you, who hold your councils with thieves and murderers"
17149,"in dark rooms at night,--you, whose plots and wiles have brought a"
17150,"violent death upon the head of one worth millions such as you,--you,"
17151,who from your cradle were gall and bitterness to your own father's
17152,"heart, and in whom all evil passions, vice, and profligacy, festered,"
17153,till they found a vent in a hideous disease which had made your face an
17154,"index even to your mind--you, Edward Leeford, do you still brave me!'"
17156,"'No, no, no!' returned the coward, overwhelmed by these accumulated"
17157,charges.
17159,"'Every word!' cried the gentleman, 'every word that has passed between"
17160,"you and this detested villain, is known to me.  Shadows on the wall"
17161,"have caught your whispers, and brought them to my ear; the sight of the"
17162,"persecuted child has turned vice itself, and given it the courage and"
17163,"almost the attributes of virtue. Murder has been done, to which you"
17164,were morally if not really a party.'
17166,"'No, no,' interposed Monks.  'I--I knew nothing of that; I was going to"
17167,inquire the truth of the story when you overtook me.  I didn't know the
17168,cause.  I thought it was a common quarrel.'
17170,"'It was the partial disclosure of your secrets,' replied Mr. Brownlow."
17171,'Will you disclose the whole?'
17173,"'Yes, I will.'"
17175,"'Set your hand to a statement of truth and facts, and repeat it before"
17176,witnesses?'
17178,'That I promise too.'
17180,"'Remain quietly here, until such a document is drawn up, and proceed"
17181,"with me to such a place as I may deem most advisable, for the purpose"
17182,of attesting it?'
17184,"'If you insist upon that, I'll do that also,' replied Monks."
17186,"'You must do more than that,' said Mr. Brownlow.  'Make restitution to"
17187,"an innocent and unoffending child, for such he is, although the"
17188,offspring of a guilty and most miserable love.  You have not forgotten
17189,the provisions of the will.  Carry them into execution so far as your
17190,"brother is concerned, and then go where you please.  In this world you"
17191,need meet no more.'
17193,"While Monks was pacing up and down, meditating with dark and evil looks"
17194,on this proposal and the possibilities of evading it:  torn by his
17195,fears on the one hand and his hatred on the other:  the door was
17196,"hurriedly unlocked, and a gentleman (Mr. Losberne) entered the room in"
17197,violent agitation.
17199,"'The man will be taken,' he cried.  'He will be taken to-night!'"
17201,'The murderer?' asked Mr. Brownlow.
17203,"'Yes, yes,' replied the other.  'His dog has been seen lurking about"
17204,"some old haunt, and there seems little doubt that his master either is,"
17205,"or will be, there, under cover of the darkness.  Spies are hovering"
